Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty
264230,Lewotolok,22373,Confirmed Eruption,Indonesia,2,,2020,,11,,27,,Historical Observations,>,2022,,1,,27,
282060,Kikai,22374,Confirmed Eruption,Japan,1,,2020,,10,,6,,Historical Observations,,2020,,10,,6,
255060,Kavachi,22364,Confirmed Eruption,Solomon Islands,0,,2020,,9,,2,,Historical Observations,,2021,,4,,10,
282050,Kuchinoerabujima,22391,Confirmed Eruption,Japan,1,,2020,,8,,29,,Historical Observations,,2020,,8,,29,
261080,Sinabung,22365,Confirmed Eruption,Indonesia,3,,2020,,8,,8,,Historical Observations,,2021,,9,,23,
344040,Telica,22368,Confirmed Eruption,Nicaragua,1,,2020,,7,,20,,Historical Observations,,2020,,12,,9,
263340,Raung,22367,Confirmed Eruption,Indonesia,1,,2020,,7,,16,,Historical Observations,,2020,,10,,3,
345070,Turrialba,22369,Confirmed Eruption,Costa Rica,1,,2020,,6,,18,,Historical Observations,,2020,,8,,24,
311240,Cleveland,22361,Confirmed Eruption,United States,3,,2020,,6,,1,,Historical Observations,,2020,,6,,1,
282060,Kikai,22359,Confirmed Eruption,Japan,1,,2020,,4,,29,,Historical Observations,,2020,,4,,29,
300130,Karymsky,22360,Confirmed Eruption,Russia,3,,2020,,4,,1,,Historical Observations,>,2022,,1,,27,
266030,Soputan,22354,Confirmed Eruption,Indonesia,2,,2020,,3,,23,,Historical Observations,,2020,,4,,2,
255060,Kavachi,22357,Confirmed Eruption,Solomon Islands,0,,2020,,3,,16,,Historical Observations,,2020,,4,,30,
290240,Sarychev Peak,22384,Confirmed Eruption,Russia,1,,2020,,2,,29,1,Historical Observations,,2021,,11,,26,
343100,San Miguel,22355,Confirmed Eruption,El Salvador,1,,2020,,2,,22,,Historical Observations,,2020,,2,,22,
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,France,0,,2020,,2,,10,,Historical Observations,,2020,,4,,6,
345020,Rincon de la Vieja,22346,Confirmed Eruption,Costa Rica,2,,2020,,1,,30,,Historical Observations,,2020,,12,,13,
353010,Fernandina,22347,Confirmed Eruption,Ecuador,0,,2020,,1,,12,,Historical Observations,,2020,,1,,13,
273070,Taal,22344,Confirmed Eruption,Philippines,4,,2020,,1,,12,,Historical Observations,,2020,,1,,22,
282050,Kuchinoerabujima,22345,Confirmed Eruption,Japan,3,,2020,,1,,11,,Historical Observations,,2020,,5,,13,
241040,Whakaari/White Island,22338,Confirmed Eruption,New Zealand,2,,2019,,12,,9,,Historical Observations,,2019,,12,,9,
311060,Semisopochnoi,22341,Confirmed Eruption,United States,1,,2019,,12,,7,,Historical Observations,,2020,,6,,19,
284096,Nishinoshima,22340,Confirmed Eruption,Japan,1,,2019,,12,,5,,Historical Observations,,2020,,8,,27,
311240,Cleveland,22342,Uncertain Eruption,United States,,,2019,,11,,7,,Historical Observations,,2019,,12,?,7,
282060,Kikai,22339,Confirmed Eruption,Japan,2,,2019,,11,,2,,Historical Observations,,2019,,11,,2,
243070,Lateiki,22334,Confirmed Eruption,Tonga,1,,2019,,10,,13,,Historical Observations,,2019,,10,,22,
283110,Asamayama,22326,Confirmed Eruption,Japan,2,,2019,,8,,7,,Historical Observations,,2019,,8,,25,
263090,Tangkuban Parahu,22325,Confirmed Eruption,Indonesia,1,,2019,,7,,26,,Historical Observations,,2019,,9,,17,
311360,Shishaldin,22330,Confirmed Eruption,United States,3,,2019,,7,,23,,Historical Observations,,2020,,5,,4,
311060,Semisopochnoi,22328,Confirmed Eruption,United States,1,,2019,,7,,16,,Historical Observations,,2019,,8,,24,
252120,Ulawun,22319,Confirmed Eruption,Papua New Guinea,4,,2019,,6,,26,,Historical Observations,,2019,,10,,5,
354020,Ubinas,22324,Confirmed Eruption,Peru,2,,2019,,6,,24,,Historical Observations,,2019,,9,,12,
290250,Raikoke,22321,Confirmed Eruption,Russia,3,,2019,,6,,22,,Historical Observations,,2019,,7,,1,
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,France,0,,2019,,6,,11,,Historical Observations,,2019,,10,,27,
311120,Great Sitkin,22322,Confirmed Eruption,United States,1,,2019,,6,,1,,Historical Observations,,2019,,6,,7,
290240,Sarychev Peak,22320,Confirmed Eruption,Russia,2,,2019,,5,,16,,Historical Observations,,2019,,10,,7,
341040,Colima,22323,Confirmed Eruption,Mexico,1,,2019,,5,,11,,Historical Observations,,2019,,7,,12,
282110,Asosan,22317,Confirmed Eruption,Japan,2,,2019,,4,,16,,Historical Observations,,2020,,6,,16,
300260,Klyuchevskoy,22310,Confirmed Eruption,Russia,2,,2019,,4,,9,,Historical Observations,,2021,,3,,20,
352090,Sangay,22312,Confirmed Eruption,Ecuador,2,,2019,,3,,26,,Historical Observations,>,2022,,1,,27,
344020,San Cristobal,22311,Confirmed Eruption,Nicaragua,1,,2019,,3,,4,,Historical Observations,,2019,,3,,4,
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,France,0,,2019,,2,,18,,Historical Observations,,2019,,3,,10,
263310,Tengger Caldera,22306,Confirmed Eruption,Indonesia,2,,2019,,2,,18,,Historical Observations,,2019,,7,,28,
300130,Karymsky,22309,Confirmed Eruption,Russia,2,,2019,,2,,16,,Historical Observations,,2019,,9,,24,
345040,Poas,22303,Confirmed Eruption,Costa Rica,2,,2019,,2,,7,,Historical Observations,,2019,,9,,30,
261080,Sinabung,22316,Confirmed Eruption,Indonesia,4,?,2019,,2,,6,,Historical Observations,,2019,,6,,9,
256010,Tinakula,22313,Confirmed Eruption,Solomon Islands,2,<,2018,,12,,8,,Historical Observations,>,2021,,12,,27,
267020,Karangetang,22294,Confirmed Eruption,Indonesia,2,,2018,,11,,25,,Historical Observations,>,2022,,1,,27,
357040,Planchon-Peteroa,22297,Confirmed Eruption,Chile,1,,2018,,11,,7,,Historical Observations,,2019,,5,,7,1
282050,Kuchinoerabujima,22296,Confirmed Eruption,Japan,3,,2018,,10,,21,,Historical Observations,,2019,,2,,3,
268060,Gamalama,22295,Confirmed Eruption,Indonesia,1,,2018,,10,,4,,Historical Observations,,2018,,10,,6,
266030,Soputan,22293,Confirmed Eruption,Indonesia,3,,2018,,10,,2,,Historical Observations,,2018,,12,,16,
260010,Barren Island,22292,Confirmed Eruption,India,1,,2018,,9,,25,,Historical Observations,>,2022,,1,,27,
252120,Ulawun,22286,Confirmed Eruption,Papua New Guinea,2,,2018,,9,,21,,Historical Observations,,2018,,10,,12,
290200,Ketoi,22287,Uncertain Eruption,Russia,1,,2018,,9,,21,,Historical Observations,,2018,,9,,21,
290240,Sarychev Peak,22288,Confirmed Eruption,Russia,2,,2018,,9,,8,,Historical Observations,,2018,,10,,15,
311060,Semisopochnoi,22289,Confirmed Eruption,United States,1,,2018,,9,,8,,Historical Observations,,2018,,10,,31,
312070,Veniaminof,22290,Confirmed Eruption,United States,1,,2018,,9,,4,,Historical Observations,,2018,,12,,23,
290390,Alaid,22281,Confirmed Eruption,Russia,1,,2018,,8,,20,,Historical Observations,,2018,,8,,21,
352090,Sangay,22283,Confirmed Eruption,Ecuador,2,,2018,,8,,8,,Historical Observations,,2018,,12,,7,
345020,Rincon de la Vieja,22282,Confirmed Eruption,Costa Rica,1,,2018,,7,,28,,Historical Observations,,2019,,6,,11,
284096,Nishinoshima,22280,Confirmed Eruption,Japan,1,,2018,,7,,12,,Historical Observations,,2018,,7,,21,
233005,Mayotte,22337,Confirmed Eruption,France,0,,2018,,7,,3,,Seismicity,?,2019,,8,,20,
353050,"Negra, Sierra",22279,Confirmed Eruption,Ecuador,2,,2018,,6,,26,,Historical Observations,,2018,,8,,23,
344040,Telica,22277,Confirmed Eruption,Nicaragua,1,,2018,,6,,21,,Historical Observations,,2018,,8,,15,
262000,Krakatau,22275,Confirmed Eruption,Indonesia,3,,2018,,6,,18,,Historical Observations,,2020,,4,,17,
353010,Fernandina,22278,Confirmed Eruption,Ecuador,1,,2018,,6,,16,,Historical Observations,,2018,,6,,21,
311120,Great Sitkin,22276,Confirmed Eruption,United States,1,,2018,,6,,10,,Historical Observations,,2018,,8,,11,
252120,Ulawun,22285,Confirmed Eruption,Papua New Guinea,1,,2018,,6,,8,,Historical Observations,,2018,,6,,8,
263250,Merapi,22264,Confirmed Eruption,Indonesia,3,,2018,,5,,11,,Historical Observations,,2020,,6,,21,
300130,Karymsky,22265,Confirmed Eruption,Russia,3,,2018,,4,,28,,Historical Observations,,2018,,9,,30,
261140,Marapi,22262,Confirmed Eruption,Indonesia,2,,2018,,4,,27,,Historical Observations,,2018,,5,,2,
344020,San Cristobal,22266,Confirmed Eruption,Nicaragua,1,,2018,,4,,22,,Historical Observations,,2018,,4,,22,
261170,Kerinci,22274,Confirmed Eruption,Indonesia,1,,2018,,4,,21,,Historical Observations,,2021,,6,,13,
223020,Nyamulagira,22315,Confirmed Eruption,DR Congo,0,,2018,,4,,18,,Historical Observations,>,2022,,1,,27,
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,France,0,,2018,,4,,3,,Historical Observations,,2018,,11,,1,
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,Indonesia,1,,2018,,4,,1,,Historical Observations,,2018,,4,,1,
282090,Kirishimayama,22257,Confirmed Eruption,Japan,3,,2018,,3,,1,,Historical Observations,,2018,,6,,27,
352090,Sangay,22259,Confirmed Eruption,Ecuador,1,,2018,,2,,25,,Historical Observations,,2018,,2,,25,
267020,Karangetang,22256,Confirmed Eruption,Indonesia,1,,2018,,2,,2,,Historical Observations,,2018,,2,,2,
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Japan,1,,2018,,1,,23,,Historical Observations,,2018,,1,,23,
343100,San Miguel,22251,Confirmed Eruption,El Salvador,1,,2018,,1,,14,,Historical Observations,,2018,,5,,30,
273030,Mayon,22250,Confirmed Eruption,Philippines,2,,2018,,1,,13,,Historical Observations,,2019,,10,,12,
251002,Kadovar,22246,Confirmed Eruption,Papua New Guinea,2,,2018,,1,,5,,Historical Observations,>,2022,,1,,9,
272020,Kanlaon,22249,Confirmed Eruption,Philippines,2,,2017,,12,,9,,Historical Observations,,2017,,12,,9,
264020,Agung,22241,Confirmed Eruption,Indonesia,3,,2017,,11,,21,,Historical Observations,,2019,,6,,13,
261230,Dempo,22248,Confirmed Eruption,Indonesia,1,,2017,,11,,9,,Historical Observations,,2017,,11,,9,
256010,Tinakula,22239,Confirmed Eruption,Solomon Islands,3,,2017,,10,,21,,Historical Observations,,2017,,10,,26,
290240,Sarychev Peak,22308,Confirmed Eruption,Russia,2,,2017,,10,,12,,Historical Observations,,2017,,11,?,13,
282090,Kirishimayama,22242,Confirmed Eruption,Japan,2,,2017,,10,,11,,Historical Observations,,2017,,10,,17,
257030,Ambae,22240,Confirmed Eruption,Vanuatu,3,,2017,,9,?,6,,Historical Observations,,2018,,10,,30,
353010,Fernandina,22245,Confirmed Eruption,Ecuador,2,,2017,,9,,4,,Historical Observations,,2017,,9,,7,1
344020,San Cristobal,22252,Confirmed Eruption,Nicaragua,3,,2017,,8,,18,,Historical Observations,,2017,,11,,11,
261170,Kerinci,22273,Confirmed Eruption,Indonesia,1,,2017,,8,,13,,Historical Observations,,2017,,8,,13,
352090,Sangay,22231,Confirmed Eruption,Ecuador,2,,2017,,7,,20,,Historical Observations,,2017,,10,,26,
264050,Sangeang Api,22228,Confirmed Eruption,Indonesia,2,,2017,,7,,15,,Historical Observations,,2020,,6,,10,
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,France,0,,2017,,7,,14,,Historical Observations,,2017,,8,,28,
252120,Ulawun,22225,Confirmed Eruption,Papua New Guinea,1,,2017,,6,,11,,Historical Observations,,2017,,11,,3,
273010,Bulusan,22229,Confirmed Eruption,Philippines,1,,2017,,6,,5,,Historical Observations,,2017,,6,,5,
261140,Marapi,22226,Confirmed Eruption,Indonesia,1,,2017,,6,,4,,Historical Observations,,2017,,6,,4,
300130,Karymsky,22230,Confirmed Eruption,Russia,3,,2017,,6,,4,,Historical Observations,,2018,,1,,27,
345020,Rincon de la Vieja,22208,Confirmed Eruption,Costa Rica,2,,2017,,5,,23,,Historical Observations,,2018,,3,,15,3
267020,Karangetang,22212,Uncertain Eruption,Indonesia,,,2017,,5,,10,,Historical Observations,,2017,,5,,10,
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,Indonesia,1,,2017,,4,,30,,Historical Observations,,2017,,7,,2,
284096,Nishinoshima,22207,Confirmed Eruption,Japan,2,,2017,,4,,18,1,Historical Observations,,2017,,8,,17,6
345040,Poas,22209,Confirmed Eruption,Costa Rica,1,,2017,,4,,12,,Historical Observations,,2017,,11,,6,
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,Tanzania,0,,2017,,4,,9,,Historical Observations,>,2022,,1,,27,
360160,Kick 'em Jenny,22260,Confirmed Eruption,Grenada,0,,2017,,3,,29,,Hydrophonic,,2017,,3,,29,
282080,Aira,22203,Confirmed Eruption,Japan,1,,2017,,3,,25,,Historical Observations,>,2022,,1,,27,
300010,Kambalny,22198,Confirmed Eruption,Russia,3,,2017,,3,,24,,Historical Observations,,2017,,4,,10,
264100,Ebulobo,22211,Uncertain Eruption,Indonesia,,,2017,,3,,12,,Historical Observations,,2017,,3,,12,
262000,Krakatau,22188,Confirmed Eruption,Indonesia,1,,2017,,2,,19,,Historical Observations,,2017,,2,,19,
344020,San Cristobal,22269,Confirmed Eruption,Nicaragua,1,,2017,,2,,18,,Historical Observations,,2017,,4,,19,
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,France,0,,2017,,1,,31,,Historical Observations,,2017,,2,,27,
243030,Unnamed,22185,Confirmed Eruption,Tonga,0,,2017,,1,,23,,Historical Observations,,2017,,1,,31,
260010,Barren Island,22187,Confirmed Eruption,India,2,,2017,,1,,15,,Historical Observations,,2017,,5,?,16,
343100,San Miguel,22192,Confirmed Eruption,El Salvador,1,,2017,,1,,7,,Historical Observations,,2017,,1,,7,
311300,Bogoslof,22182,Confirmed Eruption,United States,3,,2016,,12,,20,,Historical Observations,,2017,,8,,30,
290260,Chirinkotan,22175,Confirmed Eruption,Russia,3,,2016,,11,,29,,Historical Observations,,2017,,4,,7,
223020,Nyamulagira,22202,Confirmed Eruption,DR Congo,0,,2016,,11,,27,,Historical Observations,,2017,,5,,2,
300120,Zhupanovsky,22177,Confirmed Eruption,Russia,2,,2016,,11,,20,,Historical Observations,,2016,,11,,20,
261170,Kerinci,22172,Confirmed Eruption,Indonesia,1,,2016,,11,,15,,Historical Observations,,2016,,11,,21,
354006,Sabancaya,22158,Confirmed Eruption,Peru,3,,2016,,11,,6,,Historical Observations,>,2022,,1,,27,
290380,Ebeko,22176,Confirmed Eruption,Russia,2,,2016,,10,,20,,Historical Observations,,2021,,11,,9,
252120,Ulawun,22171,Confirmed Eruption,Papua New Guinea,1,,2016,,10,,11,,Historical Observations,,2016,,11,,18,
282110,Asosan,22174,Confirmed Eruption,Japan,3,,2016,,10,,7,,Historical Observations,,2016,,11,,12,
300130,Karymsky,22178,Confirmed Eruption,Russia,2,,2016,,10,,5,,Historical Observations,,2016,,10,,8,
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,Tanzania,,,2016,,9,<,21,,Historical Observations,,2016,,10,>,13,
241040,Whakaari/White Island,22147,Confirmed Eruption,New Zealand,1,,2016,,9,,13,,Historical Observations,,2016,,9,,13,
354020,Ubinas,22181,Confirmed Eruption,Peru,2,,2016,,9,,13,,Historical Observations,,2017,,3,,2,
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,France,0,,2016,,9,,11,,Historical Observations,,2016,,9,,18,
268060,Gamalama,22150,Confirmed Eruption,Indonesia,1,,2016,,8,,3,,Historical Observations,,2016,,8,,4,
264030,Rinjani,22149,Confirmed Eruption,Indonesia,2,,2016,,8,,1,,Historical Observations,,2016,,9,,27,
290360,Chikurachki,22153,Confirmed Eruption,Russia,2,,2016,,7,,27,,Historical Observations,,2016,,8,,18,
343100,San Miguel,22154,Confirmed Eruption,El Salvador,1,,2016,,6,,18,,Historical Observations,,2016,,6,,18,
273010,Bulusan,22151,Confirmed Eruption,Philippines,2,,2016,,6,,10,,Historical Observations,,2017,,3,,2,
345040,Poas,22156,Confirmed Eruption,Costa Rica,1,,2016,,6,,5,,Historical Observations,,2016,,8,,16,
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,France,0,,2016,,5,,26,,Historical Observations,,2016,,5,,27,
241040,Whakaari/White Island,22121,Confirmed Eruption,New Zealand,1,,2016,,4,,27,,Historical Observations,,2016,,4,,27,
390080,Bristol Island,22133,Confirmed Eruption,United Kingdom,1,,2016,,4,,24,,Historical Observations,,2016,,7,,19,
344020,San Cristobal,22130,Confirmed Eruption,Nicaragua,2,,2016,,4,,22,,Historical Observations,,2016,,4,,22,
311240,Cleveland,22128,Confirmed Eruption,United States,2,,2016,,4,,16,,Historical Observations,,2019,,1,,16,
261170,Kerinci,22125,Confirmed Eruption,Indonesia,2,,2016,,3,,31,,Historical Observations,,2016,,6,,9,
390130,Zavodovski,22159,Confirmed Eruption,United Kingdom,1,,2016,,3,,30,,Historical Observations,,2016,,5,,16,15
290360,Chikurachki,22127,Confirmed Eruption,Russia,2,,2016,,3,,29,,Historical Observations,,2016,,3,,31,
312030,Pavlof,22129,Confirmed Eruption,United States,2,,2016,,3,,27,,Historical Observations,,2016,,7,,30,
352090,Sangay,22237,Confirmed Eruption,Ecuador,2,,2016,,3,,25,,Historical Observations,,2016,,11,,17,
273010,Bulusan,22114,Confirmed Eruption,Philippines,2,,2016,,2,,22,,Historical Observations,,2016,,2,,22,
343100,San Miguel,22117,Confirmed Eruption,El Salvador,1,,2016,,1,,12,,Historical Observations,,2016,,1,,18,
357070,"Chillan, Nevados de",22119,Confirmed Eruption,Chile,2,,2016,,1,,8,,Historical Observations,>,2022,,1,,27,
266030,Soputan,22105,Confirmed Eruption,Indonesia,3,,2016,,1,,2,,Historical Observations,,2016,,2,,7,
344090,Momotombo,22107,Confirmed Eruption,Nicaragua,2,,2015,,12,,1,,Historical Observations,,2016,,4,,7,
272020,Kanlaon,22106,Confirmed Eruption,Philippines,2,,2015,,11,,24,,Historical Observations,,2016,,6,,18,
261140,Marapi,22111,Confirmed Eruption,Indonesia,1,,2015,,11,,14,,Historical Observations,,2015,,11,,14,
263310,Tengger Caldera,22103,Confirmed Eruption,Indonesia,2,,2015,,11,,12,,Historical Observations,,2016,,11,,12,
355100,Lascar,22110,Confirmed Eruption,Chile,2,,2015,,10,,30,,Historical Observations,,2017,,4,,2,1
264030,Rinjani,22104,Confirmed Eruption,Indonesia,2,,2015,,10,,25,,Historical Observations,,2015,,12,,24,
252010,Langila,22123,Confirmed Eruption,Papua New Guinea,2,,2015,,10,?,22,,Historical Observations,>,2022,,1,,23,
344100,Masaya,22108,Confirmed Eruption,Nicaragua,1,,2015,,10,,3,,Historical Observations,>,2022,,1,,27,
243060,Tofua,22370,Confirmed Eruption,Tonga,0,,2015,,10,,2,,Historical Observations,>,2022,,1,,27,
290390,Alaid,21096,Confirmed Eruption,Russia,1,,2015,,9,,29,,Historical Observations,,2016,,8,,11,
344040,Telica,21097,Confirmed Eruption,Nicaragua,2,,2015,,9,,23,,Historical Observations,,2016,,5,,11,
266100,Lokon-Empung,21093,Confirmed Eruption,Indonesia,1,,2015,,8,,30,,Historical Observations,,2015,,9,,28,1
300260,Klyuchevskoy,21095,Confirmed Eruption,Russia,3,,2015,,8,,28,,Historical Observations,,2018,,6,,15,
352050,Cotopaxi,21088,Confirmed Eruption,Ecuador,2,,2015,,8,,14,,Historical Observations,,2016,,1,,24,
343100,San Miguel,22233,Confirmed Eruption,El Salvador,1,,2015,,8,,13,,Historical Observations,,2015,,8,,13,
360160,Kick 'em Jenny,21090,Confirmed Eruption,Grenada,0,,2015,,7,,23,,Historical Observations,,2015,,7,,24,
268060,Gamalama,21087,Confirmed Eruption,Indonesia,2,,2015,,7,,16,,Historical Observations,,2015,,9,,8,
264270,Sirung,21086,Confirmed Eruption,Indonesia,1,,2015,,7,,7,,Historical Observations,,2015,,7,,8,
283020,Hakoneyama,21080,Confirmed Eruption,Japan,1,,2015,,6,,29,,Historical Observations,,2015,,7,,1,
354006,Sabancaya,21089,Confirmed Eruption,Peru,1,,2015,,6,,28,10,Historical Observations,,2015,,7,,9,
263170,Ciremai,21079,Uncertain Eruption,Indonesia,,,2015,,6,,24,,Historical Observations,,2015,,6,,24,
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,Tanzania,0,,2015,,6,<,20,,Historical Observations,,2015,,8,>,24,
283110,Asamayama,21081,Confirmed Eruption,Japan,1,,2015,,6,,16,,Historical Observations,,2015,,6,,16,
345020,Rincon de la Vieja,22132,Confirmed Eruption,Costa Rica,1,,2015,,6,,16,,Historical Observations,,2016,,5,,1,
342110,Pacaya,22157,Confirmed Eruption,Guatemala,1,,2015,,6,,7,1,Historical Observations,,2021,,8,,13,
282050,Kuchinoerabujima,21073,Confirmed Eruption,Japan,3,,2015,,5,,29,,Historical Observations,,2015,,6,,19,
353020,Wolf,21075,Confirmed Eruption,Ecuador,4,,2015,,5,,25,,Historical Observations,,2015,,6,,2,
266100,Lokon-Empung,21071,Confirmed Eruption,Indonesia,1,,2015,,5,,20,,Historical Observations,,2015,,5,,27,
344040,Telica,21074,Confirmed Eruption,Nicaragua,2,,2015,,5,,7,,Historical Observations,,2015,,5,,28,
273010,Bulusan,21072,Confirmed Eruption,Philippines,2,,2015,,5,,1,,Historical Observations,,2015,,7,,17,
358020,Calbuco,21076,Confirmed Eruption,Chile,4,,2015,,4,,22,,Historical Observations,,2015,,5,,26,
345070,Turrialba,20998,Confirmed Eruption,Costa Rica,2,,2015,,3,,8,,Historical Observations,,2019,,12,,7,
344020,San Cristobal,22268,Confirmed Eruption,Nicaragua,2,,2015,,3,,5,,Historical Observations,,2015,,6,,12,
290360,Chikurachki,20990,Confirmed Eruption,Russia,3,,2015,,2,,16,,Historical Observations,,2015,,2,,18,
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,France,0,,2015,,2,,4,,Historical Observations,,2015,,10,,31,
343100,San Miguel,20994,Confirmed Eruption,El Salvador,1,,2015,,1,,26,,Historical Observations,,2015,,4,,11,
352090,Sangay,22236,Confirmed Eruption,Ecuador,2,,2015,,1,,19,,Historical Observations,,2015,,4,,7,
266030,Soputan,20988,Confirmed Eruption,Indonesia,3,,2015,,1,,6,,Historical Observations,,2015,,3,,7,
300260,Klyuchevskoy,20992,Confirmed Eruption,Russia,2,,2015,,1,,1,,Historical Observations,,2015,,5,,10,
